Date,Island,Site,Name,GPS_south,GPS_east,Compass_bearing,Transect,Transect_placement,Treatment,Treatment_ABC,Tag_number,T_start_depth_ft,T_end_depth_ft,Notes,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,180,1,0,Caged,,80,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,180,1,0,Uncaged,,80,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,180,1,4.2,Caged,,81,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,180,1,4.2,Uncaged,,81,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,180,1,10.6,Caged,,82,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,180,1,10.6,Uncaged,,82,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,180,1,15.5,Partial,,83,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,180,1,15.5,Caged,,83,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,180,1,15.5,Uncaged,,83,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,180,1,20,Partial,,84,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,180,1,20,Caged,,84,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,180,1,20,Uncaged,,84,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,210,2,25.4,Caged,,85,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,210,2,25.5,Uncaged,,85,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,210,2,0,Caged,,86,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,210,2,0,Uncaged,,86,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,210,2,4.4,Caged,,88,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,210,2,4.4,Uncaged,,88,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,210,2,10,Caged,,89,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,210,2,10,Uncaged,,89,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,210,2,14,Caged,,90,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,210,2,14,Uncaged,,90,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,210,2,21.3,Caged,,91,,,,,,,
17-Mar-19,Egmont2,Egmont2,Egmont2,,,210,2,26.8,Uncaged,,91,,,,,,,
18-Mar-19,Egmont1,Egmont1,Egmont1 or EGM2,,,250,2,1.1,Caged,,92,,,Along the transect basically,,,,
18-Mar-19,Egmont1,Egmont1,Egmont1 or EGM2,,,250,2,1.1,Uncaged,,92,,,Along the transect basically,,,,
18-Mar-19,Egmont1,Egmont1,Egmont1 or EGM2,,,250,2,5.4,Caged,,93,,,Along the transect basically,,,,
18-Mar-19,Egmont1,Egmont1,Egmont1 or EGM2,,,250,2,5.4,Uncaged,,93,,,Along the transect basically,,,,
18-Mar-19,Egmont1,Egmont1,Egmont1 or EGM2,,,250,2,12,Caged,,94,,,Along the transect basically,,,,
18-Mar-19,Egmont1,Egmont1,Egmont1 or EGM2,,,250,2,12,Uncaged,,94,,,Along the transect basically,,,,
18-Mar-19,Egmont1,Egmont1,Egmont1 or EGM2,,,250,2,17,Caged,,95,,,Along the transect basically,,,,
18-Mar-19,Egmont1,Egmont1,Egmont1 or EGM2,,,250,2,17,Uncaged,,95,,,Along the transect basically,,,,
18-Mar-19,Egmont1,Egmont1,Egmont1 or EGM2,,,250,2,21.1,Caged,,96,,,Along the transect basically,,,,
18-Mar-19,Egmont1,Egmont1,Egmont1 or EGM2,,,250,2,21.1,Uncaged,,96,,,Along the transect basically,,,,
