Date,Island,Site,Tile,Treatment,Treatment_ABC,Tile_side?,Tube_ID,Diameter,Diameter_mm,Notes,Is it a coral?,Rachel's opinion,Rachel's notes,Final Decision,Coral_size_bin,
26-Nov-21,Middle Brother,Middle Brother,69,Caged,,Top,97,4.8 x 3.3cm,,97 / 98 may be the same colony,Y,,,Y,large,
26-Nov-21,Middle Brother,Middle Brother,69,Caged,,Top,98,4 x 4.2 cm,,97 / 98 may be the same colony,Y,,,Y,large,
26-Nov-21,Middle Brother,Middle Brother,70,Uncaged,,,None,,,,,,,,,
26-Nov-21,Middle Brother,Middle Brother,70,Caged,,,None,,,,,,,,,
26-Nov-21,Middle Brother,Middle Brother,71,Uncaged,,Bottom/side,99,0.9cm,,,Y,,,Y,small,
26-Nov-21,Middle Brother,Middle Brother,71,Uncaged,,Bottom/side,100,0.5cm,,,Y,,,Y,small,
26-Nov-21,Middle Brother,Middle Brother,71,Partial,,Top,101,2cm,,,Y,,,Y,medium,
26-Nov-21,Middle Brother,Middle Brother,71,Partial,,Top,102,2.6cm,,,Y,,,Y,large,
26-Nov-21,Middle Brother,Middle Brother,71,Partial,,Top,103,0.8cm,,,Y,,,Y,small,
26-Nov-21,Middle Brother,Middle Brother,71,Partial,,Side,104,1.2cm,,,Y,,,Y,medium,
26-Nov-21,Middle Brother,Middle Brother,71,Caged,,Top,133,,,Not really in a tube but found these corals with Mica on the dried tile,,,,,,
26-Nov-21,Middle Brother,Middle Brother,72,Uncaged,,,None,,,,,,,,,
26-Nov-21,Middle Brother,Middle Brother,72,Partial,,Top/side,105,1.7 X 1.2cm,,,Y,,,Y,medium,
26-Nov-21,Middle Brother,Middle Brother,72,Caged,,Top,106,1cm,,,Y,,,Y,medium,
26-Nov-21,Middle Brother,Middle Brother,72,Caged,,Top/side,107,1.3 X 1cm,,,Y,,,Y,medium,
26-Nov-21,Middle Brother,Middle Brother,73,Uncaged,,,None,,,,,,,,,
26-Nov-21,Middle Brother,Middle Brother,73,Caged,,Top/side,108,2.5cm,,,Y,,,Y,large,
26-Nov-21,Middle Brother,Middle Brother,73,Caged,,Top/side,110,3cm,,Labeled as 109 in the microscope photos,Y,,,Y,large,
26-Nov-21,Middle Brother,Middle Brother,73,Caged,,Top/side,111,4.0cm,,Labeled as 110 in the microscope photos,Y,,,Y,large,
26-Nov-21,Middle Brother,Middle Brother,74,Uncaged,,,None,,,,,,,,,
26-Nov-21,Middle Brother,Middle Brother,74,Partial,,,None,,,,,,,,,
26-Nov-21,Middle Brother,Middle Brother,74,Caged,,,None,,,,,,,,,
26-Nov-21,Middle Brother,Middle Brother,75,Uncaged,,Side/Bottom,112,3.8 X 1.8cm,,montipora or porites,Y,,,Y,large,
26-Nov-21,Middle Brother,Middle Brother,75,Caged,,Top/side,113,3.7 X 2.3cm,,,Y,,,Y,large,
